ID,Dein Artist Name,Stage,Playtime,day,start_time,end_time
2595,Rafush,Schlupfloch,"Friday night to Saturday morning, 14.08/15.08, 01:30 - 03:30",Friday,01:30,03:30
2599,Krumelur,Waldtraut,"Friday, 14.08.2026, 20:30 - 22:30",Friday,20:30,22:30
2603,Val Vashar,Waldtraut,"Saturday, 15.08.2026, 18:00 - 20:00",Saturday,18:00,20:00
2695,Dj Goodboy,Schlupfloch,"Friday night to Saturday morning, 14.08/15.08, 01:30 - 03:30",Friday,01:30,03:30
2697,Neurolabz,Waldtraut,"Friday night to Saturday morning, 14.08/15.08, 22:30 - 00:00",Friday,22:30,00:00
2717,HypoGeo,Waldtraut,"Saturday night to Sunday morning, 15.08/16.08, 22:00 - 00:00",Saturday,22:00,00:00
2717,HypoGeo,Waldtraut,"Sunday, 16.08.2026, 15:30 - 16:30",Sunday,15:30,16:30
2721,Electrypnose,Waldtraut,"Sunday, 16.08.2026, 20.00 - 22:00",Sunday,20:00,22:00
2759,Naias,Waldtraut,"Sunday, 16.08.2026, 08:00 - 10:00",Sunday,08:00,10:00
2761,Kasadelica,Waldtraut,"Sunday, 16.08.2026, 18:30 - 20:00",Sunday,18:30,20:00
2775,Creepy Deep,Waldtraut,"Saturday night to Sunday morning, 15.08/16.08, 04:00 - 06:00",Saturday,04:00,06:00
2829,Lara Schick,Unterholz,"Saturday night to Sunday morning, 15.08/16.08, 05:30 - 07:30",Saturday,05:30,07:30
2833,Maria Theresia von Eberg,Unterholz,"Friday night to Saturday morning, 14.08/15.08, 22:30 - 00:30",Friday,22:30,00:30
2839,Elisa Elisa,Mirage,"Saturday night to Sunday morning, 15.08/16.08, 02:00 - 04:30",Saturday,02:00,04:30
2841,ele & aal,Unterholz,"Sunday, 16.08.2026, 12:30 - 13:30",Sunday,12:30,13:30
2845,Najesh & Artišoko,Unterholz,"Friday night to Saturday morning, 14.08/15.08, 04:00 - 06:30",Friday,04:00,06:30
2873,Moritz Butschek,Seeblick,"Thursday night to Friday morning, 13.08/14.08, 23:00 - 01:00",Thursday,23:00,01:00
2887,DAS GÜNTHER,Neustockland,"Friday, 14.08.2026, 21:30 - 22:30",Friday,21:30,22:30
2889,JPATTERSSON,Seeblick,"Saturday, 15.08.2026, 18:30 - 19:30",Saturday,18:30,19:30
2891,Grandmoflash,Neustockland,"Friday, 14.08.2026, 13:00 - 16:00",Friday,13:00,16:00
2893,Rakäthe,Mirage,"Monday, 17.08.2026, 06:30 - 09:00",Monday,06:30,09:00
2895,MIDICONFUSION,Neustockland,"Friday, 14.08.2026, 17:00 - 18:00",Friday,17:00,18:00
2897,rampue,Unterholz,"Sunday, 16.08.2026, 21:00 - 22:00",Sunday,21:00,22:00
2905,Caleessi&Kreis,Mirage,"Friday night to Saturday morning, 14.08/15.08, 01:00 - 04:00",Friday,01:00,04:00
2907,Maik Gyver,Neustockland,"Sunday night to Monday morning, 16.08/17.08, 23:00 - 01:30",Sunday,23:00,01:30
2909,Qualia Trax,Strandflitzer,"Sunday, 16.08.2026, 14:00 - 16:00",Sunday,14:00,16:00
2911,Kon Faber,Mirage,"Sunday, 16.08.2026, 20:00 - 21:30",Sunday,20:00,21:30
2919,Antaares,Unterholz,"Sunday, 16.08.2026, 17:30 - 19:00",Sunday,17:30,19:00
2923,Jama,Neustockland,"Sunday, 16.08.2026, 18:00 - 22:00",Sunday,18:00,22:00
2925,Gebrömmel,Schweißperle,"Saturday, 15.08.2026, 21:30 - 23:30",Saturday,21:30,23:30
2927,Mika Dutsch,Unterholz,"Sunday, 16.08.2026, 07:30 - 10:00",Sunday,07:30,10:00
2929,musikalienparade,Schweißperle,"Saturday, 15.08.2026, 19:30 - 21:30",Saturday,19:30,21:30
2931,Soela,Unterholz,"Saturday night to Sunday morning, 15.08/16.08, 02:00 - 04:30",Saturday,02:00,04:30
2933,Marliblue & Sofyah,Unterholz,"Saturday, 15.08.2026, 06:30 - 09:00",Saturday,06:30,09:00
2935,Popsie Koch,Schweißperle,"Thursday, 13.08.2026, 16:00 - 19:00",Thursday,16:00,19:00
2937,RICHIE HAWTIN,Porto Loco,"Sunday, 16.08.2026, 20:00 - 22:00",Sunday,20:00,22:00
2939,Arnau Yuna,Schweißperle,"Friday, 14.08.2026, 15:00 - 17:00",Friday,15:00,17:00
2941,Kahl & Kæmena /w César B.,Schweißperle,"Thursday night to Friday morning, 13.08/14.08, 23:30 - 01:00",Thursday,23:30,01:00
2943,NVANCE,Schweißperle,"Friday, 14.08.2026, 22:00 - 23:00",Friday,22:00,23:00
2945,Thujan,Schweißperle,"Thursday, 13.08.2026, 22:00 - 23:00",Thursday,22:00,23:00
2953,Cioz,Mirage,"Friday night to Saturday morning, 14.08/15.08, 04:00 - 06:00",Friday,04:00,06:00
2955,CALABASA,Mirage,"Sunday night to Monday morning, 16.08/17.08, 01:30 - 04:00",Sunday,01:30,04:00
2957,The Jakob Sister,Neustockland,"Saturday night to Sunday morning, 15.08/16.08, 00:30 - 02:30",Saturday,00:30,02:30
2959,Lil' Lil',Neustockland,"Saturday, 15.08.2026, 22:00 - 22:30",Saturday,22:00,22:30
2961,Sabu!,Neustockland,"Saturday night to Sunday morning, 15.08/16.08, 04:30 - 06:30",Saturday,04:30,06:30
2963,Local Suicide,Mirage,"Thursday night to Friday morning, 13.08/14.08, 22:00 - 00:00",Thursday,22:00,00:00
2965,anima,Mirage,"Sunday night to Monday morning, 16.08/17.08, 04:00 - 06:30",Sunday,04:00,06:30
2967,RaverPik,Neustockland,"Saturday night to Sunday morning, 15.08/16.08, 02:30 - 04:30",Saturday,02:30,04:30
2969,Innellea,Atlantis,"Saturday night to Sunday morning, 15.08/16.08, 02:30 - 05:00",Saturday,02:30,05:00
3013,SHKOON,Seeblick,"Saturday, 15.08.2026, 20:00 - 21:30",Saturday,20:00,21:30
3015,Rafael Cerato,Atlantis,"Saturday night to Sunday morning, 15.08/16.08, 22:30 - 00:30",Saturday,22:30,00:30
3017,Annett Gapstream,Atlantis,"Sunday, 16.08.2026, 16:30 - 18:30",Sunday,16:30,18:30
3019,Mattmosphere b2b Amapola,Schweißperle,"Sunday, 16.08.2026, 17:00 - 20:00",Sunday,17:00,20:00
3021,Adri Tüde & The Bille,Neustockland,"Friday night to Saturday morning, 14.08/15.08, 23:00 - 02:00",Friday,23:00,02:00
3025,Jessovski,Neustockland,"Saturday, 15.08.2026, 21:00 - 21:30",Saturday,21:00,21:30
3027,junoia,Stroboklo,"Sunday, 16.08.2026, 06:00 - 08:00",Sunday,06:00,08:00
3029,Daniel Dahlmann,Neustockland,"Sunday night to Monday morning, 16.08/17.08, 03:30 - 06:00",Sunday,03:30,06:00
3031,JoMa Beton,Neustockland,"Friday night to Saturday morning, 14.08/15.08, 02:00 - 04:00",Friday,02:00,04:00
